date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-04-09,31.2,37.5,26.39,41.51,1.44,2.36,3.46,0.6,336.2,0.22,0.31,0.33
2014-04-10,30.97,38.46,24.1,30.26,0.24,2.36,4.38,0.62,70.4,0.23,0.31,0.33
2014-04-11,30.5,37.71,23.73,31.12,1.45,1.5,2.22,0.72,105.1,0.24,0.31,0.33
2014-04-12,31.5,39.04,24.57,29.38,0.7,1.96,3.93,0.25,65.5,0.24,0.31,0.33
2014-04-13,30.64,39.11,22.1,21.19,0.91,2.86,5.42,0.76,93.4,0.23,0.31,0.33
2014-04-14,30.56,38.78,21.94,38.04,0.4,1.64,4.26,0.18,203.6,0.23,0.31,0.33
2014-04-15,31.37,38.44,23.88,48.43,1.28,2.77,5.13,0.49,253.6,0.24,0.31,0.33
2014-04-16,32.85,38.84,25.49,39.8,3.31,1.36,3.11,0.26,283.8,0.29,0.31,0.33
2014-04-17,29.9,35.17,25.46,56.43,4.44,3.41,4.79,1.14,224.6,0.36,0.32,0.33
2014-04-18,28.48,32.67,25.16,63.03,1.68,3.13,4.69,1.56,219.3,0.36,0.32,0.33
2014-04-19,29.44,35.32,24.3,58.12,3.17,2.31,4.8,0.56,225.1,0.36,0.32,0.33
2014-04-20,29.35,34.95,24.29,61.98,8.44,2.11,4.1,0.68,206.3,0.42,0.33,0.33
2014-04-21,30.31,37.56,24.2,54.03,2.84,2.58,3.55,1.07,277.8,0.38,0.34,0.33
2014-04-22,30.29,37.3,23.59,52.39,3.37,1.87,2.88,0.47,204.1,0.36,0.34,0.33
2014-04-23,30.27,38.02,21.65,44.06,2.47,1.62,2.89,0.71,41.8,0.35,0.34,0.33
2014-04-24,29.88,37.68,23.67,53.88,4.68,2.65,4.13,0.59,177.2,0.37,0.34,0.33
2014-04-25,30.07,36.07,23.79,56.61,5.09,1.97,4.08,0.55,231.5,0.41,0.35,0.34
2014-04-26,28.97,33.82,24.81,59.76,1.54,4.2,5.51,3.27,236.3,0.36,0.35,0.34
2014-04-27,29.08,34.55,24.61,59.09,0.75,2.06,3.63,0.33,243.2,0.34,0.34,0.34
2014-04-28,28.54,33.97,24.24,59.33,1.36,2.37,3.89,1.57,185.9,0.34,0.34,0.34
2014-04-29,28.51,34.09,23.68,58.94,1.16,2.3,3.66,0.87,225.9,0.34,0.34,0.34
2014-04-30,29.27,35.58,24.21,57.48,3.48,2.35,4.07,0.72,205.1,0.35,0.34,0.34
2014-05-01,28.22,32.82,23.81,61.32,1.63,3.25,4.36,1.78,252.5,0.36,0.34,0.34
2014-05-02,30.79,36.81,24.28,50.54,3.39,1.68,3.22,0.11,229.9,0.35,0.34,0.34
2014-05-03,28.34,32.25,25.27,65.61,8.07,2.42,3.44,1.53,219.6,0.42,0.35,0.34
2014-05-04,27.35,31.13,23.73,69.7,5.45,1.78,3.3,0.64,114.5,0.45,0.36,0.34
2014-05-05,28.74,34.44,23.45,59.53,5.01,1.84,4.17,0.57,93.9,0.42,0.36,0.35
2014-05-06,29.68,35.86,23.53,54.85,1.52,2.18,3.34,0.95,139.1,0.38,0.36,0.35
2014-05-07,27.8,31.34,25.23,66.33,0.57,1.63,3.18,0.8,214.8,0.35,0.35,0.34
2014-05-08,28.24,33.65,23.34,59.09,0.77,2.21,3.98,0.64,259.6,0.34,0.35,0.34
2014-05-09,28.29,33.4,23.07,58.25,0.37,1.86,3.59,0.29,311.4,0.33,0.35,0.34
2014-05-10,29.61,36.46,22.51,46.65,0.28,1.63,3.02,0.62,324.1,0.31,0.34,0.34
2014-05-11,30.57,37.47,23.73,32.0,0.21,1.89,3.49,0.38,24.3,0.3,0.34,0.34
2014-05-12,30.91,38.15,23.02,34.07,0.26,1.56,2.8,0.64,48.4,0.29,0.34,0.34
2014-05-13,28.9,34.23,24.46,55.65,0.27,2.8,4.97,0.23,96.2,0.29,0.33,0.34
2014-05-14,29.23,35.33,23.72,47.0,0.05,3.2,5.3,1.46,64.4,0.29,0.33,0.34
2014-05-15,29.44,36.61,23.76,31.2,0.0,3.14,5.34,1.25,79.0,0.28,0.33,0.34
2014-05-16,30.34,38.19,22.25,33.9,0.05,1.83,3.57,0.88,139.9,0.27,0.33,0.34
2014-05-17,30.78,38.77,22.41,41.08,0.21,2.03,3.58,0.78,143.5,0.26,0.32,0.34
2014-05-18,31.53,38.59,24.5,48.25,0.25,1.75,3.03,0.26,220.7,0.25,0.32,0.34
2014-05-19,31.46,39.07,24.38,47.71,0.06,2.57,4.39,0.4,252.4,0.24,0.32,0.34
2014-05-20,32.26,40.06,25.08,45.44,0.08,2.68,4.74,0.51,134.4,0.24,0.32,0.34
2014-05-21,32.18,40.94,24.65,36.82,0.28,2.47,4.35,0.3,79.5,0.23,0.32,0.34
2014-05-22,31.47,38.83,23.82,46.27,0.73,2.4,4.54,0.36,205.4,0.23,0.32,0.33
2014-05-23,32.33,39.46,25.11,45.2,0.5,2.34,4.37,0.16,228.7,0.23,0.32,0.33
2014-05-24,32.23,39.57,24.89,46.77,0.45,2.42,4.08,0.21,226.9,0.23,0.32,0.33
2014-05-25,32.5,39.8,25.18,46.33,0.57,2.44,4.59,0.39,223.5,0.23,0.32,0.33
2014-05-26,32.74,40.33,25.92,44.91,3.11,2.2,3.42,0.26,210.0,0.27,0.32,0.33
2014-05-27,30.75,37.19,24.76,57.33,2.32,2.65,3.66,1.12,191.7,0.32,0.32,0.34
2014-05-28,28.33,32.24,25.01,68.37,6.61,2.82,4.52,1.09,214.4,0.4,0.33,0.34
2014-05-29,28.16,33.47,24.04,66.77,4.51,2.25,3.44,1.05,168.4,0.4,0.34,0.34
2014-05-30,30.56,37.44,24.07,52.61,0.44,1.92,3.19,0.58,122.8,0.34,0.34,0.34
2014-05-31,30.96,38.49,23.43,51.2,0.62,2.19,3.84,0.36,204.8,0.3,0.33,0.34
2014-06-01,28.79,32.93,24.61,61.11,0.35,3.48,4.45,2.59,217.8,0.3,0.33,0.34
2014-06-02,28.83,34.53,23.72,61.84,0.63,2.74,4.4,0.59,227.5,0.31,0.33,0.34
2014-06-03,28.71,32.94,24.39,59.77,0.24,2.8,3.94,1.35,226.8,0.3,0.33,0.34
2014-06-04,30.19,37.65,23.75,52.44,0.46,2.5,3.83,1.3,183.3,0.3,0.33,0.34
2014-06-05,30.64,38.55,23.56,48.89,0.96,3.05,4.03,2.19,178.2,0.29,0.33,0.34
2014-06-06,29.4,35.58,24.04,57.14,1.34,2.99,4.25,1.08,224.0,0.3,0.33,0.34
2014-06-07,30.31,37.44,23.62,54.43,0.44,2.57,4.42,1.21,219.6,0.29,0.33,0.34
2014-06-08,29.83,35.42,24.38,53.91,0.8,2.67,4.95,0.45,219.5,0.29,0.32,0.34
2014-06-09,28.25,32.3,24.47,62.6,0.8,3.61,4.69,2.61,226.0,0.3,0.32,0.34
2014-06-10,28.27,33.37,24.11,62.09,0.65,3.02,4.25,2.36,241.6,0.3,0.32,0.34
2014-06-11,28.15,33.7,24.0,59.49,2.63,1.95,3.12,0.78,212.5,0.33,0.33,0.34
2014-06-12,29.76,36.53,23.56,52.33,3.97,1.91,3.81,0.56,85.9,0.36,0.33,0.34
2014-06-13,29.1,35.21,23.68,59.68,4.73,2.6,4.56,0.9,232.0,0.39,0.34,0.34
2014-06-14,29.79,37.24,22.86,56.8,2.18,2.86,4.47,0.62,265.6,0.35,0.34,0.34
2014-06-15,30.42,37.62,23.09,55.51,1.53,2.37,4.28,0.13,247.6,0.33,0.33,0.34
2014-06-16,28.45,33.03,23.66,62.89,2.54,2.51,4.14,1.22,228.1,0.34,0.33,0.34
2014-06-17,28.71,33.73,24.06,59.42,0.72,2.13,3.52,1.05,177.2,0.34,0.34,0.34
2014-06-18,29.1,35.82,23.36,55.49,1.63,2.88,4.81,1.22,225.1,0.33,0.33,0.34
2014-06-19,29.28,37.03,22.4,56.41,1.32,2.89,4.5,0.37,249.0,0.32,0.33,0.34
2014-06-20,28.67,34.88,22.92,63.37,3.23,3.23,4.79,1.36,239.2,0.35,0.34,0.34
2014-06-21,29.67,36.21,23.92,57.93,3.48,2.1,3.63,0.31,234.9,0.36,0.34,0.34
2014-06-22,29.13,35.99,22.94,63.12,5.85,2.45,4.02,0.93,174.6,0.39,0.34,0.34
2014-06-23,28.34,34.07,23.53,65.72,6.4,2.65,4.1,0.92,204.1,0.42,0.35,0.34
2014-06-24,29.18,36.18,22.97,58.41,1.7,2.07,3.26,0.35,221.6,0.36,0.35,0.34
2014-06-25,28.58,35.15,22.72,62.12,4.12,3.14,4.56,1.19,226.5,0.39,0.35,0.34
2014-06-26,28.81,35.06,22.87,58.99,1.41,2.45,3.71,0.66,221.5,0.35,0.35,0.34
2014-06-27,27.44,32.11,22.88,64.94,4.79,2.51,3.51,0.72,232.9,0.39,0.35,0.35
2014-06-28,26.82,31.01,22.49,69.77,9.81,2.09,3.98,0.47,229.6,0.46,0.36,0.35
